,titles,category
0,입생로랑 상품명 입생로랑 루쥬 볼립떼 락 앤 샤인              별,Makeup
1,디올 상품명 디올 울트라 루즈                  립스틱 립케어,Makeup
2,공식 상품 로쎄앙 상품명 쁘띠 립스틱 지속력 발색력 좋은 립 키스를 부르는 로맨틱 입술,Makeup
3,백화점 상품 베네피트 상품명  신세계강남점 단독     플로라틴트  틴트포어브로우 샘플 증정 ,Makeup
4,바세린 상품명 바세린 젤리 립밤 오리지날       개,Makeup
5,바비브라운 상품명 바비브라운 엑스트라 립 틴트      베어라즈베리 핑크,Makeup
6,홈쇼핑 상품 클리오 상품명 클리오 레오파드에디션 루즈힐 블룸 다이아 립스틱  세트  종 ,Makeup
7,공식 상품 로쎄앙 상품명 레브 틴트 립스틱     각질부각 없는 촉촉 립 스틱,Makeup
8,공식 상품 로쎄앙 상품명     워터 틴트 립글로즈 글로시 립 반짝이는 수분광채 탱탱한 입술,Makeup
9,크리니크 상품명 크리니크 래쉬 파워 마스카라    블랙오닉스,Makeup
10,크리니크 상품명 크리니크 치크팝      피치 핑크 파피 멜론 누드 로지,Makeup
11,상품명 엠시피 강력방수 글래머 마스카라     특가,Makeup
12,푸로루나 상품명       푸로루나 오토 아이브로우 펜슬   눈썹   납작,Makeup
13,공식 상품 제이뮤 상품명 제이뮤 성형눈썹 슬림 타투 아이브로우 펜슬  특가,Makeup
14,메이블린 상품명 메이블린 뉴욕 기획세트 라인 타투 크레용 핏미파운데이션    ,Makeup
15,바세린 상품명 바세린 립 테라피 오리지널         개,Makeup
16,크리니크 상품명 크리니크 래쉬 파워 마스카라    블랙오닉스,Makeup
17,상품명      바찌 럭스 컬렉션 버터 립스틱  컬러 택 ,Makeup
18,    상품명 쓰리씨이 블러 워터 틴트                ,Makeup
19,바세린 상품명 바세린 퓨어젤리 립밤       개,Makeup
20,클리오 상품명          샤프 쏘 심플 펜슬 펜라이너,Makeup
21,상품명 퀵 타투 브로우틴트 눈썹 강력 픽싱 슬림 아이브로우,Makeup
22,상품명         메리쏘드 콜라겐 멜팅 립밤   입술에 사르르 녹아든다,Makeup
23,공식 상품 뉴트로지나 상품명 뉴트로지나 데일리 립 밤   ,Makeup
24,홈쇼핑 상품 달바 상품명 달바 화장품  세럼 글로우 픽싱 커버 쿠션 본품  개 리필  개 가죽파우치  개 립세럼,Makeup
25,스케다 상품명 어썸 아이브로우 펜슬  남성눈썹펜슬  자연스러운 색상,Makeup
26,마타바 상품명 소문난 국민 자운 멀티 보습밤  개 만들기     키트 환절기 맞춤     재료세트,Makeup
27,상품명 아이브로우 픽싱 타투펜 찐눈썹타투브로우 가이드증정,Makeup
28,티에스더블유 상품명     올킬 붓펜 아이라이너 워터프루프 안번지는라이너,Makeup
29,상품명 에스투엔디     촉촉한 탕후루틴트 뉴 플레닛 틴트,Makeup
30,공식 상품 제이뮤 상품명 한정특가   시간 지속 말린장미 타투 립스틱,Makeup
31,나스 상품명      나스 볼터치 블러쉬      블러셔 섹스어필,Makeup
32,    상품명 맥 립스틱 루비우 칠리 레이디데인져 디바 러시안레드,Makeup
33,뉴트로지나 상품명 뉴트로지나 립밤 립글로즈 립케어 립 테라피  개,Makeup
34,에뛰드 상품명 에뛰드 드로잉 아이브라우 아이브로우 펜슬        개 ,Makeup
35,프롱 상품명 프롱 안번지는 미온수 워셔블 마스카라       워터프루프,Makeup
36,상품명 롱킬 립틴트팩 강력한 입술 착색 타투틴트팩,Makeup
37,상품명 눈썹 퀵타투팩 자연스러운 여자 남자 타투 아이브로우,Makeup
38,뉴트로지나 상품명 뉴트로지나 데일리 립 밤    개,Makeup
39,    상품명 맥 미네랄라이즈 스킨 피니쉬     소프트앤젠틀,Makeup
40,공식 상품 로쎄앙 상품명 매트 립스틱 벨벳 오래지속되는 컬러     부드럽고 선명한 색상,Makeup
41,온더바디 상품명 온더바디 니니즈 죠르디 틴티드 립밤  개,Makeup
42,벨먼 상품명 벨먼 포켓몬 피규어 립밤 피카츄  개 포켓몬 캔뱃지 개,Makeup
43,프로랑스 상품명 프로랑스 써니글램 물광글로우 블러셔,Makeup
44,루나 상품명 루나 뮤티드브러쉬라이너  ,Makeup
45,공식 상품 바닐라코 상품명 바닐라코 글로우 베일 틴트 로지 쉘,Makeup
46,무드매쳐 상품명 무드매쳐 컬러체인지 반전 립스틱 선택 종,Makeup
47,백화점 상품 상품명        신세계강남점 싱글 아이섀도우 하드와이어드,Makeup
48,마타바 상품명 천연 수제 촉촉 자초 립밤 만들기   개작업 키트     립밤케이스   개 방학만들기 체험활동,Makeup
49,마타바 상품명 천연 호호바듬뿍 영양 자초 수제 립밤만들기       개작업 키트 방학 체험활동     립밤케이스  개 스티커,Makeup
50,상품명 엠시피 안번져 오토 슬림 젤아이라이너    ,Makeup
51,입큰 상품명 입큰 라이블리 붓펜 젤펜슬 아이라이너  초슬림 아이브로우  프루프 마스카라  개  개 선택 골라담기,Makeup
52,베르플로스 상품명 립밤      개 입술 보호제 립케어 보습제 바른성분,Makeup
53,페리페라 상품명 잉크 더 벨벳   ,Makeup
54,홈쇼핑 상품 상품명 메이시크 메이크업 풀패키지  아이브로우틴트 다크브라운   리얼핏아이라이너 딥블랙   마,Makeup
55,상품명 칼라뉴스 골드 립스틱   가지 컬러중 선택 아이섀도우,Makeup
56,무드매처 상품명 무드매쳐 컬러체인지 반전 립스틱 선택 종,Makeup
57,루나 상품명 루나 뮤티드브러쉬라이너  ,Makeup
58,헤이미쉬 상품명 헤이미쉬 데일리즘 아이 팔레트   누디 로즈,Makeup
59,상품명 로레알파리 기획세트 더블 익스텐션 뷰티튜브 마스카라 틴케이스,Makeup
60,이니스프리 상품명     이니스프리 파워프루프 펜 라이너 브러쉬 라이너,Makeup
61,프롱 상품명     가이드증정 프롱 눈썹결 타투 아이브로우  개구성   눈썹타투펜   최대    시간지속,Makeup
62,입큰 상품명 입큰 다이아몬드 인 아이즈   호 티파니 오로라 ,Makeup
63,홈쇼핑 상품 상품명 디어달리아 단품 립 파라다이스 에포트리스 매트 립스틱  소피 나타샤 그웬 애슐리 택,Makeup
64,    상품명 쓰리씨이     클라우드 립 틴트,Makeup
65,바세린 상품명 바세린 립밤 립글로즈 챕스틱 립 에센스  개,Makeup
66,루나 상품명 루나 뮤티드브러쉬라이너  ,Makeup
67,바세린 상품명 바세린 립밤 립테라피 퓨어젤리 립케어     개,Makeup
68,베네피트 상품명 베네피트 단델리온 트윙클       미니 ,Makeup
69,바세린 상품명 바세린 립 에센스         개   립밤,Makeup
70,상품명 릴리바이레드     앙큼 라이어 코팅 틴트     ,Makeup
71,벨먼 상품명 벨먼 잔망루피 체리레드 립밤       개 샤방톡,Makeup
72,상품명 비러브 마이라인 펜 아이라이너 블랙  슬림 멀티 오토 아이브로우 스틱섀도우 아이메이크업 베스트,Makeup
73,상품명 코코아버터 듬뿍담은 카렌듈라 보습 립밤 만들기  개작업     엄마가 직접 만드는    ,Makeup
74,바세린 상품명 바세린 립밤 립스틱 립테라피       개 택 ,Makeup
75,페리페라 상품명 페리페라 스피디 스키니 브로우 카라,Makeup
