,titles,category
0,공식 상품         상품명 게이밍                                          윈도우       램               한컴오피스 데스크탑,Digital
1,공식 상품         상품명 게이밍                                                         램                   게임최적화,Digital
2,공식 상품         상품명 게이밍                                                          램                   게임최적화,Digital
3,공식 상품         상품명 게이밍                                                          램                   게임최적화,Digital
4,공식 상품            상품명 프로 타워             데스크탑 윈도우      인텔       램 삼성              한컴오피스 컴퓨터 업무용,Digital
5,공식 상품            상품명 프로 타워              데스크탑      윈도우      인텔       램                 한컴 컴퓨터 업무용,Digital
6,공식 상품    엘리트데스크 상품명 데스크탑                         윈도우                  램                 한컴오피스,Digital
7,공식 상품    엘리트데스크 상품명 데스크탑                          윈도우                   램                 한컴오피스,Digital
8,공식 상품    엘리트데스크 상품명 데스크탑                          윈도우                   램               한컴오피스,Digital
9,삼성전자 상품명 데스크탑                          세대                     윈도우   홈 한컴오피스,Digital
10,삼성전자 상품명 데스크탑                          세대                   윈도우   홈 한컴오피스,Digital
11,공식 상품    워크스테이션 상품명 워크스테이션                          윈도우  프로   세대               램                 년보증,Digital
12,공식 상품    워크스테이션 상품명 워크스테이션                                 윈도우                    램 삼성               년보증,Digital
13,공식 상품    워크스테이션 상품명 워크스테이션                          윈도우                    램                년보증,Digital
14,공식 상품    워크스테이션 상품명 워크스테이션                           윈도우                    램 삼성               년보증,Digital
15,공식 상품    워크스테이션 상품명 워크스테이션                                     윈도우                    램 삼성             ,Digital
16,공식 상품         상품명 게이밍 컴퓨터                         인텔  세대                       램               윈도우     ,Digital
17,공식 상품         상품명 게이밍 컴퓨터                           세대                        램               윈도우     ,Digital
18,공식 상품         상품명 게이밍 컴퓨터                            세대                        램               윈도우     ,Digital
19,공식 상품         상품명 게이밍 컴퓨터                      인텔  세대                                      윈도우     ,Digital
20,삼성전자 상품명 올인원                    윈도우                램          한컴오피스 일체형 컴퓨터  ,Digital
21,삼성전자 상품명 올인원                    윈도우                램                 한컴오피스 일체형 컴퓨터  ,Digital
22,공식 상품            상품명 데스크탑 프로타워             윈도우               램                 한컴오피스증정 컴퓨터   ,Digital
23,공식 상품            상품명 데스크탑 프로타워             윈도우                램                 한컴오피스증정 컴퓨터   ,Digital
24,공식 상품            상품명 데스크탑 프로타워             윈도우                   램 삼성              한컴오피스증정 컴퓨터  ,Digital
25,공식 상품         상품명 게이밍 데스크탑                                     램               윈도우        세대         ,Digital
26,공식 상품         상품명 게이밍 데스크탑                                 삼성     램        윈도우        세대         ,Digital
27,공식 상품         상품명 게이밍 데스크탑                                     램               윈도우        세대         ,Digital
28,공식 상품    엘리트데스크 상품명 데스크탑                         인텔             램                    한컴오피스증정,Digital
29,공식 상품    엘리트데스크 상품명 데스크탑                          윈도우          램               인텔         한컴오피스증정,Digital
30,공식 상품           상품명 데스크탑                                                  램                 게이밍 컴퓨터,Digital
