,titles,category
0,상품명 청도 반건시 곶감 선물세트   입      중소과  선물용가방,Food
1,상품명 청도반건시곶감  입  입  총 팩 개당   내외 중과,Food
2,상품명     청도 반건시곶감   입선물세트     중소과 ,Food
3,상품명 영동 대봉 마곶감 블랙  호 호두말이 명절 선물세트,Food
4,상품명 구례 산수려인증 반건시 대봉   과입 곶감,Food
5,가온애 상품명 편강       생강 편강 건생강 말린생강 절임 간식류,Food
6,상품명 상주곶감 건시 선물세트  호    과  명절 선물세트,Food
7,곶감이야기 상품명 상주곶감 실속건시 고급  호     이상        중과  상주 곳감  곶감선물세트   보자기 포함  ,Food
8,상품명 미국산 햇 건자두      봉 푸룬 프룬 건과일,Food
9,상품명 농협 달콤한 장성 대봉 반건시 곶감 선물세트  호  장성 ,Food
10,상품명 무유황 곶감 흑곶감 자연건조 옛날곶감 전통곶감     년 햇곶감 실속형    ,Food
11,상품명 상주곶감 곶감선물세트 명절선물 명절전도착 감동  호 보자기포장,Food
12,상품명 상주 곶감 건시 실속형     정품 곶감 가정용 간식용 햇곶감,Food
13,상품명 영동 대봉 반건시 마곶감  호     명절 선물세트,Food
14,상품명 구례 산수려인증 반건시 대봉   과입     내외 곶감,Food
15,상품명 구례 대봉 반건시 곶감   과입 선물세트  과     내외  총 약       ,Food
16,파란푸드 상품명 건살구                건과일,Food
17,공식 상품 산과들에 상품명 초코볼 간식 다크초콜릿건포도  낱봉    봉더,Food
18,공식 상품 너트리 상품명 건포도     칠레산,Food
19,파란푸드 상품명 건 크랜베리             건과일 견과류,Food
20,상품명 친환경 유기농 구례 건 산수유 말린 산수유      ,Food
21,상품명 상주곶감  다담건시 명품 곶감  호               과  고급  곶감선물세트  황금 보자기 ,Food
22,가온애 상품명 건살구        팩   건과일 건조살구 건과류 총모음,Food
23,파란푸드 상품명 대추야자               건과일 건대추 이란산,Food
24,상품명 곶감선물세트 산천농원 곶감 호  호두말이혼합 ,Food
25,상품명 상주 반건시 곶감   과 선물세트  개당       총      ,Food
26,상품명 달콤 쫀득 청도반시 햇 감말랭이        지프팩포장,Food
27,상품명 자연미가 패션후르츠 백향과               냉동과일,Food
28,가온애 상품명 건자두        팩  건자두 푸룬 반건자두 건과 건과일,Food
29,상품명 달콤 쫄깃한 영양간식 청도 감말랭이      가정용 ,Food
30,상품명 달콤쫄깃 감말랭이       가정용  청도 감말랭이,Food
31,상품명 청도반건시곶감 맛보기   입  총    내외  씨없는곶감,Food
32,상품명 청도반건시곶감 반건시곶감  입  입  총 팩 특사이즈 제수용추천 ,Food
33,가온애 상품명 바나나칩       건바나나 과일칩 간식거리 안주건과류,Food
