,titles,category
0,상품명 고당도 한라봉 선물세트          과 중대과,Food
1,촌아저씨 상품명 경북 햇 부사사과 가정용       과내   중과 이상,Food
2,       상품명 대한농산 스테비아 대추방울 토망고       팩,Food
3,상품명 한라봉      천혜향      레드향    제주직송 과일선물세트,Food
4,상품명 거북농산  새콤달콤 생 체리     칠레산      ,Food
5,상품명 철인 사과배 혼합 선물세트  호      사과  배  ,Food
6,비투비월드 상품명 좋은맛 배           과  부모님 선물세트,Food
7,상품명 자연예서 명품 혼합  호 과일선물세트 추석명절세트,Food
8,상품명 나영이네농장 한라봉          과  소과 알뜰 실속형,Food
9,상품명 제주 천혜향      내외      과   명절선물세트,Food
10,상품명 제주 고당도 타이벡 효돈 귤 감귤      도매가 행사중,Food
11,상품명  깨비농원  고당도 천혜향       중과      과 ,Food
12,상품명 제주 타이벡 효돈 햇 감귤 귤     초특가 행사중,Food
13,상품명 태국 골드 망고         과 특대과,Food
14,상품명  깨비농원 고당도 레드향 선물세트       고급가방 포장,Food
15,상품명 나영이네농장 한라봉          과  대과,Food
16,상품명  깨비농원  고당도 레드향       소과      과 ,Food
17,상품명 최고등급 논산 설향 딸기       팩      구 ,Food
18,상품명 경북 사과      갓따온 가을 꿀사과  랜덤  흠조금,Food
19,상품명 꿀사과 엔비사과    인증 펜시    내외       과 작은흠집 실중량 ,Food
20,상품명 고당도 체리 칠레 생체리       팩      ,Food
21,상품명 율스키친 사과배 과일선물세트 배        과  사과            과  보자기,Food
22,촌아저씨 상품명 설날 프리미엄 혼합세트 대과 제수용    사과  배       이상,Food
23,자연예서 상품명 자연예서혼합  호 과일선물세트 추석명절선물,Food
24,상품명 빨간 사과 햇 부사 사과 중소과            과 스마일배송,Food
25,상품명 산지직송 제주 고당도 하우스 귤 감귤      도매가 공급,Food
26,상품명 제주 레드향     고당도 사이즈 선택 가능,Food
27,상품명 설날 프리미엄 혼합세트 대과 제수용    사과  배       이상,Food
28,상품명 명품 사과 배 혼합 선물세트  호  사과  배  ,Food
29,상품명 명품찰토마토       번 소과,Food
30,상품명 당도좋은 대추방울토마토     번 중소과,Food
31,상품명 고당도 한라봉 노지     랜덤과 소 중 대,Food
32,상품명 쿠폰가      원 제주농협 선물용 천혜향 설선물세트       로얄과      입    부직포가방,Food
33,상품명 율스키친 혼합 과일선물세트     배  사과   보자기 설선물,Food
34,상품명 새코롬 레드향             과  선물세트  실중량 ,Food
35,상품명 설 추석 명절 과일혼합선물세트  호 사과  배        ,Food
36,상품명 떨이농산 막 드릴게요 햇 부사 사과 쥬스용 실중량     ,Food
37,상품명 나주배 설 명절 프리미엄 선물세트             과 ,Food
38,상품명 제주직송 레드향         과 중대과 과일 선물세트,Food
39,상품명  깨비농원 고당도 레드향 선물세트       대과      과  가방포장,Food
40,상품명 나영이네농장 탐나는 천혜향          과  대과 선물세트  지정일발송가능,Food
41,상품명 나영이네농장 한라봉          과  중과,Food
42,상품명 정품 팬시레몬   과 개당     ,Food
43,상품명 달콤한 고당도 제주직송 한라봉     중과      과수   세트구매시       추가발송 ,Food
44,상품명 청송꿀사과 늘해랑 실속 선물 호      과,Food
45,상품명 오늘아침사과 오늘아침 세척사과       과,Food
46,상품명 간편한 세척 사과          과 한입소과 가정용,Food
47,상품명 사과 배 과일선물세트 혼합  호 사과 배 혼합 프리미엄 선물세트      부직포가방  중포장,Food
48,상품명 나주배 설 명절 프리미엄 선물세트             과 ,Food
49,상품명  깨비농원  고당도 한라봉       소과      과 ,Food
50,상품명 새콤달콤 제주 한라봉  시간특가꼬마     박스무게포함,Food
51,상품명 제주 나영이네농장 고당도 레드향            과  중소과 선물세트  지정일발송가능,Food
52,상품명 제주 고당도 효돈 햇 감귤 귤      초특가 행사중,Food
53,상품명  씩씩한농원      브릭스 고당도 하우스 레드향     중과      과  가정용,Food
54,상품명 곡성 옥과 농협 세척 사과     소과      과 정품 ,Food
55,상품명 옥이네청과 주스용 사과      실중  흠과 꼬마 중소과 부사 사과  부자재포함 중량 ,Food
56,상품명 명절 과일선물 망고 애플망고 선물세트        과 ,Food
57,상품명 전가네청과 프리미엄 고당도 샤인머스켓 망고포도     가정용    수 ,Food
58,상품명  깨비농원  고당도 천혜향       소과      과 ,Food
59,상품명 밀양 얼음골 꿀사과 부사     특대    과  선물제수용,Food
60,상품명      청룡에디션 고당도 레드향     로얄과     과 ,Food
61,상품명 가정용상품 부사사과       과내외  흠과,Food
62,상품명 한라산농장 귤 타이벡 귤       중대과      최고당도 조생 귤,Food
