,titles,category
0,상품명 허리 스판 스키니 진 청바지 여자 여성 연청바지 진청바지 봄 가을,Fashion
1,상품명 고탄력 스판 허리 밴딩 부츠컷 팬츠 바지 절개 봄 여름 가을 여자 여자 청바지,Fashion
2,상품명       하이웨이스트 사이드 찢청 와이드 데님팬츠 여성청바지 컷팅 와이드청바지 하이웨이스트청바지 ,Fashion
3,허밍퍼플 상품명 스트레이트핏 일자 신상 청바지 컷팅       빈티지 구제진 큰언니 예쁜 오버 플러스 빅사이즈 여성의류,Fashion
4,상품명 허리 밴딩 스판 여성 블랙진 부츠컷 청바지 팬츠,Fashion
5,상품명 고탄력 스판 밴딩 일자 부츠컷 팬츠 청바지 블랙진,Fashion
6,상품명 고탄력 허리 스판 넓은 밴딩 스키니 진 팬츠 청바지,Fashion
7,해외직구 상품 상품명 여성 기모 청바지 데님 팬츠 블랙진 세미 부츠컷 나팔 하이웨스트 겨울      ,Fashion
8,상품명 기모 스판 스키니 진 팬츠 화이트 블랙진 여성 청바지,Fashion
9,상품명 여성 일자 청바지 데님 팬츠 진청 밴딩 빅사이즈 봄,Fashion
10,상품명       뒷밴딩 밑단컷팅 하이웨이스트 와이드 데님팬츠 여성청바지 와이드청바지 하이웨이스트청바지 ,Fashion
11,상품명 본딩융기모 청바지 세미와이드 일자핏 여자여성              ,Fashion
12,상품명 기모 고탄력 스판 밴딩 스키니 진 팬츠 겨울 바지,Fashion
13,상품명 워싱 롱 와이드 융털 기모 청바지      여성청바지 난스판 기모바지 와이드팬츠 하이웨이스트 ,Fashion
14,해외직구 상품 상품명 엄마 빅사이즈 밴딩 청바지 중년 여성 배기 데님 꽃무늬 화려한 자수,Fashion
15,상품명 여성 기모 부츠컷 청바지 데님 밴딩 팬츠 빅사이즈 겨울 본딩 융,Fashion
16,갠소 상품명 겨울신상 데님팬츠 청바지 기모 일자 부츠컷 스키니 워싱중통롱일자데님팬츠,Fashion
