,titles,category
0,백화점 상품 빌리프 상품명  신세계타임스퀘어점패션관    슈퍼나이츠   베스트 듀오 스페셜 세트,Makeup
1,홈쇼핑 상품 상품명 최신상 시즌    억 판매돌파 닥터큐먼    콜라겐 프리미엄 크림팩 실속패키지,Makeup
2,백화점 상품 설화수 상품명 설화수  월 옥용팩      ,Makeup
3,메디힐 상품명 메디힐 플라센타 에센셜 마스크   매  리뉴얼 ,Makeup
4,메디힐 상품명     메디힐 더마    마스크 티트리   매,Makeup
5,상품명       일회용 비닐 마스크 페이스    매 마스크팩시트 페이스마스크 페이스커버 셀프뷰티케어 얼굴마사지,Makeup
6,상품명       이켈필오프팩 숯       팩 필오프 오이팩 알로에 녹차,Makeup
7,엔텔 상품명 마스크팩 얼굴팩 시트 피부 관리 화장품 달팽이   ,Makeup
8,상품명 마스크팩 얼굴팩 시트 피부 관리 화장품 블루베리  ,Makeup
9,청정미인 상품명 청정미인 에센스 마스크팩    매    종류   매씩    데일리  일  팩,Makeup
10,공식 상품 마녀공장 상품명 비타민 트리 브라이트닝 팩     ,Makeup
11,리더스 상품명 리더스 프로하이드라 세라마이드 마스크   매,Makeup
12,토리든 상품명 토리든 다이브인 저분자 히알루론산 멀티패드   매,Makeup
13,공식 상품 네이처리퍼블릭 상품명 리얼네이처 마스크시트 대나무        ,Makeup
14,공식 상품 네이처리퍼블릭 상품명 리얼네이처 마스크시트 캐모마일        ,Makeup
15,백화점 상품 빌리프 상품명 갤러리아 빌리프 슈퍼 나이츠   멀티 비타민 마스크     ,Makeup
16,닥터지 상품명 닥터지 레드 블레미쉬 클리어 퀵 수딩 팩      ,Makeup
17,공식 상품 한스킨 상품명 바이탈   레이어링 앰플 마스크 콜라겐   매,Makeup
18,오휘 상품명 오휘 클리어 사이언스 텐더 마사지 크림       맛사지크림 페이스괄사,Makeup
19,미샤 상품명 미샤 비타씨플러스 잡티씨 앰플 마스크          ,Makeup
20,백화점 상품 빌리프 상품명  신세계타임스퀘어점패션관     슈퍼 나이츠   리제너레이팅 나이트 마스크     ,Makeup
21,    상품명     마스터즈 박세리 선패치   매  박세리패치 골프,Makeup
22,메디큐브 상품명 콜라겐 나이트 랩핑 마스크       개,Makeup
23,제약모아 상품명 바르는 보스웰리아 마사지 크림 관절 근육 통증    개,Makeup
24,상품명 팩 수려한 본 클렌징 폼       개,Makeup
25,상품명 마스크팩시트지 얼굴 마스크팩재료    장 텐셀,Makeup
26,홈쇼핑 상품     상품명 마스크팩   매 순면 마스크팩    매 퍼밍   매   카밍   매   브라이트닝  ,Makeup
27,상품명 아라리디아 곡물로   초 롤링팩     ,Makeup
28,리더스 상품명 인솔루션 바세린 모이스처 마스크   매,Makeup
29,제이엠솔루션 상품명 제이엠솔루션 물광 에스오에스 앰플 콜라겐 마스크   매,Makeup
30,아비브 상품명 아비브 어성초 스팟 패드 카밍 터치   매  개,Makeup
31,메디테라피 상품명 본품  상자 링클핏 탱글 아이패치     ,Makeup
32,상품명 여배우의 피부광채비법 프롬더스킨 글루타치온 콜라겐팩,Makeup
33,상품명 과일딸기 수용성 바디슬리밍 마사지젤       보습효,Makeup
34,홈쇼핑 상품 상품명 메디앤서 리얼스킨핏 콜라겐 마스크팩  박스   매    넥마스크  매,Makeup
35,홈쇼핑 상품 액티브레이어 상품명 총    매 액티브레이어 프리미엄 콜라겐 필름 더블 세트,Makeup
36,다자연 상품명  현대       다자연 어성초 마스크팩   매,Makeup
37,메디힐 상품명 메디힐 티트리 누드겔 마스크   매     미드나잇팩   포,Makeup
38,마녀공장 상품명 마녀공장 땡스베리 다즐링 티 마스크 시트   매   개,Makeup
39,한율 상품명 어린쑥 수분진정 패드   매,Makeup
40,원씽 상품명 원씽 어성초 모델링팩    ,Makeup
41,쁘띠페 상품명 쁘띠페 골드 스네일 하이드로겔 아이패치     매,Makeup
42,프레쥬 상품명 인진쑥 스팀 마스크팩 모공팩 각질팩 슈렉팩    ,Makeup
43,애터미 상품명 애터미 이브닝케어 필오프 마스크   ,Makeup
44,공식 상품 닥터지 상품명 레드 블레미쉬 쿨 수딩 마스크    ,Makeup
45,상품명               끌레드벨 원킬 브이 리프팅 마스크      블랙,Makeup
46,공식 상품 리코셀 상품명 네이처 리커버리 마스크팩 콜라겐       매,Makeup
47,공식 상품 닥터지 상품명 레드 블레미쉬 딥 수딩 마스크    ,Makeup
48,    상품명 본사공식     골드 콜라겐 뽑아쓰는 데일리 마스크팩   매,Makeup
49,마몽드 상품명 마몽드 플라워 앰플 마스크팩    ,Makeup
50,시크릿키 상품명 스노우 화이트 밀키 팩       개     ,Makeup
51,메디힐 상품명 메디힐 캡슐    바이오 세컨덤 하이드로 베타 마스크   매,Makeup
52,    상품명     순면 마스크팩 카밍    매   접이식 쇼핑카트  설날선물,Makeup
