,titles,category
0,아침농산 상품명 국산 율무    율무쌀 연천농협     년산,Food
1,구도 상품명 구도 퀵오트밀        개,Food
2,현대농산 상품명 국산 찰오곡밥              봉        년 햇곡         구매시 찰흑미 증정,Food
3,허브나래 상품명 병아리콩 이집트콩 칙피 밤콩         캐나다산,Food
4,상품명 국산 잡곡 선물세트  호    감사 단체 명절 추석 설 구정 선물  ,Food
5,상품명 국산 서리태             봉    속청 검은콩 검정콩 잡곡   지퍼팩 포장,Food
6,뉴트리너스 상품명 루피니빈 고단백 루핀콩      홈쇼핑 인기상품,Food
7,건강한끼 상품명 오트밀         봉 압착귀리 누른귀리 퀵오트 캐나다산,Food
8,아침농산 상품명 국산 깐녹두        년 햇곡,Food
9,아침농산 상품명 국산 백태           개  메주콩     년산,Food
10,현대농산 상품명 유기농 국산 귀리           봉        년 햇곡       구매시 찰흑미 증정,Food
11,건강한끼 상품명 국산 찰기장         년산 햇곡,Food
12,건강한끼 상품명 늘보리 압맥                  년산 햇곡,Food
13,상품명 국산 찰기장         봉   노란 기장 쌀 잡곡       년산 햇곡,Food
14,건강한끼 상품명 고대곡물 호라산밀     대용량     년산,Food
15,상품명 국산 찰수수    차수수   년산햇수수,Food
16,건강한끼 상품명 고대곡물 호라산밀     대용량     년산 터키산,Food
17,건강한끼 상품명 페루산 팥 적두     동지팥죽 팥빙수     년산 햇곡,Food
18,아침농산 상품명 국산 찰수수    대용량     년 햇곡,Food
19,아침농산 상품명 수입 깐녹두    페루산,Food
20,건강한끼 상품명 고대곡물 호라산밀           봉      년산,Food
21,현대농산 상품명 건강 잡곡  종 선물세트    ,Food
22,공식 상품 사조대림 상품명 해표 참고소한 볶음참깨    ,Food
23,건강한끼 상품명 수입 깐녹두     대용량     년산 햇곡 페루산,Food
24,아침농산 상품명     년 페루산 적두 팥      대용량,Food
25,상품명 삼원농산 캐나다 병아리콩            개      년 햇곡,Food
26,건강한끼 상품명 국산 찰수수        년산,Food
27,건강한끼 상품명 햄프씨드      대마씨     년산 슈퍼푸드,Food
28,상품명 압착 귀리 오트밀        ,Food
29,그리심 상품명 미친오트밀 누룽지       봉 식사대용 압착귀리 오트,Food
30,아침농산 상품명 국산 압맥               납작보리 늘보리압맥,Food
31,건강한끼 상품명 늘보리 압맥                  년산,Food
32,상품명 국산 팥  적두      년산 햇팥,Food
33,현대농산 상품명 참살이 발아현미  종 선물세트    ,Food
34,현대농산 상품명 웰빙 혼합곡  종 선물세트    ,Food
