,titles,category
0,공식 상품      비보북 상품명 비보북                  빅세일 최종  만   인치                               최대           충전,Digital
1,공식 상품    상품명                가성비 노트북   세대    최종  만 마우스 젠더            윈           대학생 사무용,Digital
2,공식 상품    파빌리온 상품명 플러스             노트북 최종  만 마우스   세대                           윈   가성비 고해상도,Digital
3,기가바이트 상품명 어로스        특가    만 인텔    지포스                              게이밍 노트북,Digital
4,공식 상품               상품명                             인텔  세대              최종  만,Digital
5,공식 상품   전자    그램   상품명   전자   그램 최종   만                                 윈도우 미포함,Digital
6,  전자    울트라   상품명               울트라   엣지 라이젠    프리도스 노트북,Digital
7,    상품명                                        신제품  빅세일  만,Digital
8,공식 상품          상품명                                         ,Digital
9,공식 상품    상품명                    최종   만 최대        지원                          ,Digital
10,공식 상품      비보북 상품명 비보북                   빅세일   만                              고사양 게이밍,Digital
11,  전자 상품명    그램  빅세일    만                                윈도우   포함,Digital
12,공식 상품        아이디어패드 상품명                빅세일    만                    게이밍 슬림노트북 크리에이터노트북,Digital
13,     프레데터 상품명 에이서 프레데터 헬리오스 네오                    인텔   세대                                       ,Digital
14,공식 상품      비보북 상품명      비보북               빅세일 특가   만원 오늘출발 가성비노트북 인텔             대학생추천,Digital
15,공식 상품        씽크북 상품명                                최종  만            윈  홈 백라이트 지문인식 비즈니스노트북,Digital
16,공식 상품      상품명 젠북                         특가   만 인텔            윈도우      영상편집 사무용 대학생 추천 노트북,Digital
17,공식 상품 삼성전자 갤럭시북 상품명 갤럭시북                최종  만 인텔  세대 대학생 인강용,Digital
18,공식 상품 삼성전자 갤럭시북 상품명 갤럭시북                 최종  만 윈도우  노트북 가성비노트북 학생용 사무용 대학생,Digital
19,상품명          플립북    블랙 에디션  년   미러링 삼성     모니터     ,Digital
20,공식 상품        상품명               빅세일    만               게이밍   세대     신규출시 영상편집,Digital
21,공식 상품               상품명               빅세일    만                         게이밍 영상편집 업무용 슬림노트북,Digital
22,공식 상품           상품명 빅터스            인텔                                      스위치 언더볼팅 게이밍 노트북,Digital
23,공식 상품               상품명              빅세일    만               게이밍         업무용 디자인용,Digital
24,공식 상품   전자    울트라   상품명   전자 울트라                     만  라이젠    가성비 빅세일 노트북,Digital
25,삼성전자 갤럭시북 상품명   삼성 노트북 갤럭시북                                  키스킨 파우치 한컴오피스 사은행사,Digital
26,공식 상품      젠북 상품명 젠북                         인텔   세대                              노트북 최종    만,Digital
27,상품명      노트북               인텔   세대 가성비 좋은 사무용 인강 노트북 최종   만원 ,Digital
28,공식 상품   전자    그램   상품명   그램              최종    만                   윈도우  홈,Digital
29,공식 상품      비보북 상품명               비보북       만구매     라이젠                           충전 가성비노트북,Digital
30,공식 상품         상품명                     최종   만   세대                       윈   게이밍노트북,Digital
31,    상품명 모던              할인가       원 인텔 사무용 노트북       ,Digital
32,공식 상품 삼성전자 갤럭시북 상품명 삼성전자 갤럭시북                    최종    만 삼성노트북      터치가능,Digital
33,공식 상품        아이디어패드 상품명 아이디어패드                         빅세일특가   만        초경량                   ,Digital
34,공식 상품   전자    그램 상품명 그램                   만                     윈도우  홈 탑재,Digital
35,공식 상품 삼성전자 갤럭시북 상품명 갤럭시북  프로               빅세일    만   세대    램                    인치 삼성 노트북,Digital
36,공식 상품     상품명                               세대                                      노트북  쿠폰    카드   ,Digital
37,  전자    울트라   상품명    울트라                 혜택가   만   세대    램                           ,Digital
38,  전자    그램   상품명   그램                최 종 혜 택 가    만             인텔  세대      램       학생용 인강용 노트북,Digital
39,공식 상품 삼성전자 갤럭시북 상품명 갤럭시북                최종   만 인텔  세대 외장그래픽 게이밍 대학생선물 대학생추천,Digital
40,  전자    울트라   상품명    울트라                   설빅세일   만특가 가벼운 학생용 사무용 저렴한 가성비 실용성 노트북 추천,Digital
41,공식 상품     상품명                               세대                                     노트북  쿠폰    카드   ,Digital
42,공식 상품      비보북 상품명 비보북                   빅세일 최종  만 인텔  세대                       충전,Digital
43,  전자 상품명 울트라   엣지  빅세일   만                  인치     라이젠 노트북,Digital
