,titles,category
0,상품명 브이넥 쉬폰 롱원피스 랩원피스 꽃패턴 소매 봄원피,Fashion
1,상품명 캉캉 플레어 원피스 플라워패턴 허리밴딩 프릴 편한옷,Fashion
2,상품명 홈웨어 편안한 이지웨어팬츠 여성바지 트레이닝바지           ,Fashion
3,상품명 벨라도나 여성 스윗하트 큐티 원피스 잠옷           ,Fashion
4,상품명 벨라도나 여성 스윗하트 이노센트 원피스 잠옷           ,Fashion
5,상품명 노비스 원피스,Fashion
6,상품명 벨라도나 여성 스트라이프 펜슬 원피스 잠옷 파자마 수면복           ,Fashion
7,상품명 코튼나시롱원피스,Fashion
8,상품명 브이빈 리즈 트위드 자켓                ,Fashion
9,상품명 벨라도나 홈웨어 반팔잠옷세트 블랙체크 베어 파자마  종 세트           ,Fashion
10,상품명 벨라도나 홈웨어 반팔잠옷세트 빅패턴 래빗 파자마  종 세트           ,Fashion
11,상품명      줄리아원피스 매일샵 블라우스 니트 원피스 스커트 가디건 바지,Fashion
12,상품명 조거 트레이닝 셋업                  ,Fashion
13,상품명 나염 트레이닝 셋업         ,Fashion
14,상품명 플라워 펀칭 나시 롱원피스 끈원피스 나시원피스 브라원피스 휴가원피스 나시롱원피스 끈나시원피스 클럽원,Fashion
15,상품명  쿠폰가     원 브이넥 조끼         ,Fashion
16,상품명 스트레이트 데님 팬츠         ,Fashion
17,상품명  쿠폰가      원 버튼 트위드 자켓         ,Fashion
18,상품명 세로 스트라이프 롱원피스 민소매 나시  라인 여행룩,Fashion
19,     상품명 페미닌레이스배색원피스            ,Fashion
20,상품명 나시원피스 민소매롱원피스 슬림드레스        겨울,Fashion
21,상품명 여성 롱 니트원피스 롱원피스 가을 겨울 목폴라 폴라니트 터들넥 골지원피스 허리끈 벨트 상하세트 투피스,Fashion
22,상품명 끈나시 원피스        샤스커트,Fashion
23,상품명 셔츠원피스 롱원피스        차이나카라,Fashion
24,상품명 깔끔한 여성 브이넥 반팔원피스 기본원피스 블랙,Fashion
25,상품명 검정색 여자 캐주얼 반팔 여름 원피스 휴가 여름옷 하객원피스 결혼식하객패션 롱스커트홈드레스 검정원피,Fashion
26,상품명 여성 롱 원피스 하객룩 플레어 스퀘어넥 반팔 블랙,Fashion
27,상품명 여자 브이 롱 니트 원피스 머플러    여성니트 여자니트 여성원피스 여자원피스 여성의류,Fashion
28,시드마켓 상품명 미시옷 심플마반팔원피스            여성 빅사이즈,Fashion
29,상품명 봄여름가을 원피스 루즈핏 롱원피스 청순스타일,Fashion
30,상품명     자베멜빵원피스 매일샵 맨투맨 원피스 블라우스 스커트 바지 가디건,Fashion
31,상품명 여성 예쁜 허리 주름 라인 포인트 여리핏 원피스 블랙,Fashion
32,상품명 아이스 쿨 나시 원피스 민소매 스판 빅사이즈     ,Fashion
33,상품명 멘도르 카라넥 벨트 원피스         ,Fashion
34,태그 상품명 랩 원피스  종 택  홈쇼핑 빅사이즈,Fashion
35,상품명  쿠폰가      원 머스크 트위드 자켓        ,Fashion
36,해외직구 상품 상품명 오드리햅번 빈티지 햅번 레트로 드레스 파티  개세트,Fashion
37,상품명 꽃 롱원피스,Fashion
38,상품명     비블린원피스 매일샵 맨투맨 원피스 블라우스 스커트 바지 가디건,Fashion
39,해외직구 상품 상품명 여자 데님원피스 여름 청원피스 긴팔 데님 롱 바캉스    ,Fashion
40,마담블리 상품명     쿠폰      원 마담블리 엄마옷 오엘캉캉원피스         ,Fashion
41,상품명 웬디   카라 롱 셔츠 드레스        ,Fashion
42,마담블리 상품명 마담블리    쿠폰       원  엄마옷 풍기 인견 원피스  종세트 빅사이즈        ,Fashion
43,상품명 여성 브이넥 롱원피스 하객룩 오피스룩 고급스러운 하객룩원피스 여성브이넥원피스 여성원피스코디 고급스,Fashion
44,상품명 여름 민소매 원피스 블랙 롱 끈나시 여성 원피스 여성원피스 나시원피스 시원한원피스 여성민소매원피스 나,Fashion
45,상품명 언트셔츠원피스,Fashion
46,상품명  쿠폰가      원 제드 트위드 자켓         ,Fashion
47,상품명  쿠폰가     원 빈스 베이직 밴딩 팬츠         ,Fashion
48,상품명 청순 무드 플라워 휴양지 캉캉 끈나시 롱 원피스 해변 여신룩,Fashion
49,상품명 미네퀸 롱 원피스           ,Fashion
50,상품명 여성 패션 브이넥 크로스꼬임 랩 롱 원피스       ,Fashion
51,상품명      나염 롱 원피스                  ,Fashion
52,상품명 체크 블레이져 자켓         ,Fashion
53,상품명 여성 이너웨어 속치마 허리 밑 레이스 나시 롱 원피스,Fashion
54,상품명 여자 꽃무늬 플라워 끈나시 롱 원피스 여름 민소매,Fashion
55,시크루즈 상품명 저덴 기모 캥거루 포켓 후드 롱 원피스        ,Fashion
56,상품명 로젤 패딩조끼                ,Fashion
57,상품명 코코리   라파 후드배색 테이핑 기모 원피스 겨울신상 기모원피스 아노락원피스 후드원피스,Fashion
58,상품명 코코리  센츄 기모 집업 원피스 겨울신상 기모원피스 아노락원피스 후드원피스,Fashion
