,titles,category
0,삼성전자 상품명 갤럭시 공기계 중고폰 자급제 중고 갤럭시            급,Digital
1,삼성전자 상품명 갤럭시    중고     공기계 중고폰 알뜰폰 자급제 특 급,Digital
2,삼성전자 갤럭시  상품명    플러스      가개통 새상품 공기계 공기기 케이스 필름 충전기제공,Digital
3,아이폰 상품명 애플 아이폰   공기계 깨끗한 중고폰      특 급 책임환불제,Digital
4,아이폰 아이폰   상품명 애플 아이폰  미니        급 공기계 중고폰 알뜰폰 자급제,Digital
5,삼성전자 갤럭시  상품명 갤럭시              특 급         공기계 중고폰 알뜰폰 자급제,Digital
6,  전자 상품명       공기계 중고폰              특 급,Digital
7,삼성전자 상품명 갤럭시 플립       중고 중고폰 공기계 특 급,Digital
8,아이폰 상품명 애플 아이폰   미니      프로                  중고폰 공기계 자급제 중고 중고폰,Digital
9,삼성전자 상품명 갤럭시노트         중고 노트   공기계 중고폰 알뜰폰 자급제  급,Digital
10,삼성전자 갤럭시  상품명 중고폰 갤럭시             급  필름부착 젤리케이스  공기계 모든 통신사 알뜰폰 포함  사용,Digital
11,삼성전자 갤럭시노트 상품명 중고폰 갤럭시 노트       특 급 공기계 모든 통시사 사용,Digital
12,아이폰 아이폰   상품명 애플 아이폰         특 급 공기계 중고폰 알뜰폰 자급제,Digital
13,삼성전자 갤럭시  상품명 갤럭시              급 공기계 중고폰 알뜰폰 자급제,Digital
14,삼성전자 갤럭시  상품명 갤럭시           급         공기계 중고폰 알뜰폰 자급제,Digital
15,삼성전자 갤럭시  상품명 갤럭시               급         공기계 중고폰 알뜰폰 자급제,Digital
16,삼성전자 상품명 갤럭시 점프             특 급               공기계 중고폰 알뜰폰 자급제,Digital
17,공식 상품 삼성전자 상품명 갤럭시   폴드   자급제       빅스쿠폰     중복    카드          개월무이자 최대  당일발송,Digital
18,상품명    스타일 폴더                      새상품 공기계 미사용 풀박스 갤럭시폴더 대체용,Digital
19,삼성전자 상품명 갤럭시     플러스 중고폰 공기계 특 급 휴대폰     ,Digital
20,상품명  삼성 삼성 갤럭시        자급제                당일수령택배,Digital
21,삼성전자 갤럭시  상품명 갤럭시    울트라       중고폰  급 공기계     ,Digital
22,삼성전자 상품명 갤럭시 커버           특 급         공기계 중고폰 알뜰폰 자급제 키즈폰,Digital
23,삼성전자 상품명 삼성 갤럭시 폴더      공기계 중고폰               급,Digital
24,삼성전자 상품명 갤럭시     플러스 중고폰 공기계  급 휴대폰     ,Digital
25,아이폰 상품명 애플 아이폰    중고폰 공기계       특 급  필름부착 케이스  모든 통신사 사용,Digital
26,삼성전자 갤럭시 폴더블 상품명 삼성 갤럭시  폴드        중고폰 공기계 휴대폰       급,Digital
27,삼성전자 갤럭시노트 상품명 삼성 갤럭시 노트        중고폰 공기계  급 스마트폰,Digital
28,삼성전자 갤럭시  상품명 중고폰 갤럭시            급  필름부착 케이스  공기계 모든 통신사  알뜰폰 포함  호환     ,Digital
29,삼성전자 갤럭시노트 상품명 삼성 갤럭시 노트        중고폰 공기계 특 급 휴대폰,Digital
30,상품명 중고폰 갤럭시 노트       급  필름부착 젤리케이스        공기계 모든통신사  알뜰폰포함 사용        ,Digital
31,삼성전자 상품명      갤럭시 폴드   공기기 공기계 모든색상 용량 통신사 선택가능 빠른배송,Digital
