,titles,category
0,백화점 상품 상품명  참달성  대구신세계 유기농쌀     삼광미 특등급쌀 친환경쌀 참달성 유가농협,Food
1,현대농산 상품명 백미 쌀           년 햅쌀   상등급        구매시 찰흑미 증정,Food
2,바른약초 상품명 카무트 원재료명 호라산밀 카무트      이너블릭 정품,Food
3,상품명 푸른들녘 메뚜기쌀          ,Food
4,아침농산 상품명 국산 찹쌀     쿠폰가      원,Food
5,현대농산 상품명 국산 한입만 찹쌀            년 햅쌀,Food
6,건강한끼 상품명 국산 찹쌀         년산 동진찰,Food
7,백화점 상품 상품명  쌀가게  신세계타임스퀘어점리빙관     년산 참드림     ,Food
8,철원오대쌀 상품명 동송농협 철원오대쌀       년 햅쌀,Food
9,상품명 향이 나는 쌀모음 수향미 여리향      찰진밥맛 누룽지 향이 나는 쌀,Food
10,아침농산 상품명 행복이든 경기미      추청 아끼바레 상등급 쿠폰가      원,Food
11,홈쇼핑 상품 상품명 대야농협    년햅쌀 신동진 햅쌀           총     ,Food
12,상품명 삼원농산 찹쌀            년산 햅쌀,Food
13,산엔청 상품명 산청 지리산 청정골 무농약 메뚜기쌀 오분도미          년 햅쌀,Food
14,정직한농부 상품명 백진주 경기미     년 햅쌀 정직한농부 백진주쌀      찰지고 맛있는쌀,Food
15,농사꾼 상품명 농사꾼 양심쌀 찹쌀          년산 햅찹쌀          포 구성     ,Food
16,공덕농협 상품명  오직미 신동진쌀      그린숯미 공덕농협 당일도정 산지직송    년햅쌀 ,Food
17,상품명 국산 찰현미      봉     년산   보관이 편한 소포장 찹쌀현미 현미찹쌀,Food
18,상품명 임금님표 이천쌀              맛있는쌀 쿠폰가      원,Food
19,상품명   반값 일반미      못난이쌀 잡곡밥용 저렴한 백미,Food
20,아침농산 상품명 국산 찰흑미     흑미 쿠폰가      원,Food
21,아침농산 상품명 국산 찰흑미           개      년 햅쌀,Food
22,상품명 철원 오대쌀            년 햅쌀   상등급,Food
23,우리집밥선생 상품명 정성가득 경기미 쌀    ,Food
24,농사꾼 상품명 농사꾼 양심쌀 찰현미 현미찹쌀            포      년 햅찰현미,Food
25,건강한끼 상품명 국산 찹쌀                    년산 동진찰,Food
26,아침농산 상품명     년 햅쌀 계화농협 바람빛 쌀      쿠폰가      원,Food
27,상품명 농사꾼 양심쌀 백미          년산 햅쌀 첫출하,Food
28,상품명 강화섬쌀      상등급 강화도쌀 백미 강화쌀 쿠폰가      원,Food
29,우리집밥선생 상품명 김제 오분도쌀      오분도미 당일도정,Food
30,건강한끼 상품명 국산 홍국쌀           기능성쌀 컬러쌀     년산 햅쌀,Food
31,상품명 무안농협 친환경 무농약 우렁이랑 쌀          년 햅쌀,Food
32,상품명 고급미 농사꾼쌀 백미 쌀      상등급     년산 햅쌀 첫출하,Food
33,이쌀이다 상품명     년산 순천농협 순천만쌀      상등급,Food
34,상품명 황금도깨미 연무농협 삼광쌀 당일도정 백미      특등급     년 햅쌀,Food
35,상품명 경기도 찹쌀      년산 햅찹쌀 찰진 경기도찹쌀,Food
36,건강한끼 상품명 갈색 가바현미     국산     년산 햇곡,Food
37,허브나래 상품명 호라산밀         캐나다산,Food
38,아침농산 상품명 호라산밀           봉  고대곡물 캐나다산,Food
39,건강한끼 상품명 국산 현미                    년산 햅쌀,Food
40,상품명 서의성농협 단일미 프리미엄 일품미 쌀        의성의 미   당일도정,Food
41,상품명 싸래기 쇄미      죽 가래떡용쌀 떡만드는쌀,Food
42,건강한끼 상품명 국산 쌀     백미     년산 햅쌀 밥맛 좋은 상등급,Food
43,상품명 국산 백미 쌀       상등급 햅쌀 밥       년산 햅쌀,Food
44,우리집밥선생 상품명 참새방아쌀    ,Food
45,상품명 농협 특등급 단일품종 더쌀집 삼광미       농협    인증 ,Food
46,백화점 상품 상품명  쌀가게  신세계본점     년산 유기농 명품쌀      용의눈동자 ,Food
47,백화점 상품 상품명  부성농업  대구신세계    일 오전 시 주문마감산지직송 프리미엄 샤인배사과혼합세트 샤인 배 사과   ,Food
48,상품명 국산 찹쌀       찰기가득 잡곡       년산 햅쌀,Food
49,상품명    년산 햅쌀  경주시농협 천년고도 경주삼광쌀     당일도정,Food
