,titles,category
0,모리프 상품명 레이 패브릭 소파베드 쇼파베드 쇼파침대 소파 쇼파 침대,Interior
1,동서가구 상품명 동서가구 모던        인용 소파 스툴           ,Interior
2,공식 상품 이노센트 상품명 런버 아쿠아텍스 무빙헤드  인용소파 스툴        ,Interior
3,공식 상품 이노센트 상품명 런버 아쿠아텍스 무빙헤드 패브릭  인용소파        ,Interior
4,공식 상품 이노센트 상품명 런버 아쿠아텍스 무빙헤드 패브릭  인용소파        ,Interior
5,공식 상품 이노센트 상품명 소나타  인 가죽소파        ,Interior
6,동서가구 상품명 동서가구 뉴제라 천연가죽  인 소파 스툴 미포함          ,Interior
7,동서가구 상품명 동서가구 페넌  인용 인조 가죽 소파 스툴포함         ,Interior
8,플로바움 상품명 플로바움 신디  인용 좌식쇼파 편안한 쇼파베드,Interior
9,플로바움 상품명 플로바움 하이디  인용 쇼파,Interior
10,썬퍼니처 상품명 베리영  인용 풀커버 패브릭 소파   스툴,Interior
11,플로바움 상품명 모스카토  인용소파 고급퀼팅쇼파,Interior
12,모리프 상품명 브레멘 패브릭 소파베드쇼파베드 쇼파침대 소파 쇼파 침대,Interior
13,에보니아 상품명 에보니아 착불 엔느 귀요미  인용 쇼파 패브릭룩 방수가죽 쇼파,Interior
14,모리프 상품명 레더  인용 인조가죽소파  인용 쇼파,Interior
15,동서가구 상품명 동서가구 뉴제라 천연가죽  인 소파 스툴미포함          ,Interior
16,상품명     에니스 아쿠아텍스  인 소파 쿠션 포함,Interior
17,상품명  단 접이식 매트리스 접이식소파 쇼파침대  단매트  정품베개커버 증정,Interior
18,동서가구 상품명 동서가구 레멘스  인 가죽소파         ,Interior
19,홈쇼핑 상품 보루네오 상품명 보루네오 젬마 천연 통가죽  인 소파,Interior
20,썬퍼니처 상품명  인용 리클라이너 일인용쇼파  인소파 회전형 전동리클라이너 흔들의자       ,Interior
21,상품명     에니스 아쿠아텍스  인 소파 쿠션 포함,Interior
22,썬퍼니처 상품명  인용  인용  인용 체이스 리클라이너 카우치 소파 외  종,Interior
23,삼익가구 상품명 삼익가구 기간한정특가 폰드 아쿠아 패브릭  인용 카우치 소파,Interior
24,동서가구 상품명 동서가구 마틴 아쿠아텍스 패브릭  인소파,Interior
25,상품명    공간장의자  인용쇼파 대기용장의자 작은쇼파,Interior
26,상품명 빈백 소파 컽커버 속커버  인쇼파         대형빈백,Interior
27,모리프 상품명 와플  인용 호텔소파원단 소파베드 쿠션   쇼파베드 침대소파 침대쇼파,Interior
28,노아가구 상품명 신상품 소파베드 접이식쇼파베드 쇼파베드 소파 쇼파  인용소파베드  인용쇼파  인용  인용소파베드,Interior
29,노아가구 상품명 잠이솔솔소파베드 접이식쇼파베드  인  인용소파베드,Interior
30,노아가구 상품명 이루와쇼파베드 소파베드 접이식쇼파베드 쇼파침대,Interior
31,노아가구 상품명 잠이솔솔쇼파  인용쇼파 패브릭소파 소파침대 소파,Interior
32,썬퍼니처 상품명 투스툴  인용  인용 패브릭 소파 스툴 개,Interior
33,아이엔디스타 상품명 마켓민빈백 모음 빈벡 소파 빈백소파  인소파,Interior
34,삼익가구 상품명 삼익가구 버즈  인용 가죽 접이식 소파베드,Interior
35,에보니아 상품명 에보니아 슈퍼세일 착불 코모드 전동  인 리클라이너 에어레더 컵홀더  인소파,Interior
36,상품명 가구모티브 마르소 코너형 조야 아쿠아텍스 패브릭 소파  인용  인용  쿠션증정 ,Interior
37,상품명 다우닝 시엘  인 전체 통가죽 소파 스툴,Interior
38,에보니아 상품명 에보니아 착불 등받이가 각각 움직이는 실용적인 라인 등받이 듀얼 소파베드  인용 쇼파,Interior
39,상품명 카테나 아쿠아텍스  인  형 소파       ,Interior
40,에보니아 상품명 리버스  인 접이식 소파베드 쇼파침대         ,Interior
41,센스     상품명 볼소파 쿠션의자 공의자 빈백  인용쇼파 좌식의자,Interior
42,썬퍼니처 상품명 썬퍼니처  인용  인용  인용 리클라이너 소파 쇼파,Interior
43,백화점 상품 자코모 상품명  신세계센텀점 신상품헤일로  인 기능성 젠위브 패브릭 소파,Interior
44,상품명 동서가구 포토리뷰 스타벅스쿠폰 이즈 비안나 아쿠아패브릭 헤드틸팅  인소파      ,Interior
45,상품명 라로퍼니처  착불배송 네오 에어레더 나파 가죽 전동 리클라이너 소파  인용 쇼파,Interior
46,삼익가구 상품명 삼익가구   추천 디아트 천연소가죽  인용 소파 스툴제외 ,Interior
47,프리폼 상품명  인용 에어쇼파 미니 쇼파 원룸 캠핑 침대 거실 소파 휴대용 스툴 바캉스 의자 좌식,Interior
48,노아가구 상품명 신상품 잠이솔솔소파 소파베드 쇼파베드 소파 쇼파  인용침대  인용소파  인용쇼파  인용쇼파  인용쇼파,Interior
49,노아가구 상품명 이루와소파 쇼파 패브릭쇼파 소파베드  인용쇼파 소파,Interior
50,해외직구 상품 상품명 신형 접이식  인용  인용 수납형 소파 베드 침대,Interior
51,공식 상품 이노센트 상품명 이노센트 동서가구 하늘 전동  인용 리클라이너소파 네일샵의자        ,Interior
52,삼익가구 상품명 삼익가구 클로디 프리미엄  인용 전동 원터치 리클라이너 소파,Interior
53,해외직구 상품 상품명 신형 접이식  인용  인용 수납형 소파 베드 침대,Interior
54,상품명 가구쟁이 오크 수납벤치 소파 벤치수납의자,Interior
55,상품명 흥창가구쟁이 원목수납벤  인용  인용수납쇼파      ,Interior
56,상품명 흥창가구쟁이 원목수납 벤치쇼파 스툴의자      ,Interior
57,공식 상품 베스트리빙 상품명 플랩 이동형  인  인 소파베드  인용  인용 쇼파베드 쇼파침대 소파 쇼파 침대,Interior
58,공식 상품 베스트리빙 상품명     인용  인용 패브릭 아쿠아텍스 쇼파 초생피 가죽 쇼파  인  인 사무실 매장 거실 소파,Interior
59,홈쇼핑 상품 현대의료기 상품명   만세일 현대의료기 포그니처 온열 가죽소파   인  사은품 종 냄비 협탁 ,Interior
60,쉐우드가구 상품명 쉐우드가구 초특가 아쉬  인용 전면 카우치형 이태리 천연통가죽 기능성 소파,Interior
61,쉐우드가구 상품명 쉐우드가구 초특가 다원  인 아띠잔 내추럴 천연통가죽 스윙헤드 기능성 소파,Interior
62,상품명 다우닝 원형테이블증정      레아  인 전체 통가죽 소파 스툴,Interior
63,상품명 다우닝  주 무료체험 주드  인 리프트업 전체 천연가죽 소파 스툴,Interior
64,삼익가구 상품명 삼익가구 소파        모엘 천연소가죽  인용 소파 스툴포함  착불배송 ,Interior
