,titles,category
0,백화점 상품   전자 상품명  신세계강남점   전자공식인증점    울트라       스탠드형                  ,Digital
1,  전자 상품명   전자 울트라               스탠드     빠른출고 천장형전문     운송료지역별차등 추가구성꼭참조후선택,Digital
2,삼성전자 상품명 삼성전자                  각도조절 벽걸이형 삼성물류설치 스마트 ,Digital
3,삼성전자 상품명 삼성                             벽걸이형,Digital
4,삼성전자 상품명                         스탠드형 퍼스트제이,Digital
5,삼성전자 상품명 삼성전자                       전국배송 지역별차등비용,Digital
6,  전자 울트라   상품명   물류설치 특급   전자                      인치 지역별 차등 요금 빠른설치,Digital
7,홈쇼핑 상품   전자 상품명    울트라         형                 사운드바   만원 상당 ,Digital
8,삼성전자 상품명 삼성전자                         각도조절 벽걸이형  지역옵션 삼성물류설치 스마트 ,Digital
9,  전자 올레드   상품명   전자                     스탠드형 서울경기가능 정품     ,Digital
10,  전자 상품명 미르   전자 스탠바이미            ,Digital
11,더함 상품명 더함 안드로이드 스마트                년 구글 치크     어플설치 오늘출발 수도권  일내 설치,Digital
12,상품명 살루스                        인치          ,Digital
13,상품명   인치   지방 벽걸이기사설치 브라켓미포함 ,Digital
14,삼성전자 상품명 삼성전자                스탠드형     빠른배송 천장형설치전문     운송료지역별차등 상세설명꼭참조,Digital
15,삼성전자 상품명 전국무료배송설치 삼성전자                       각도벽걸이형  ,Digital
16,상품명 미르   전자                  벽걸이형,Digital
17,삼성전자 상품명 삼성전자                스탠드형 마리  지역별배송비상이 ,Digital
18,상품명 링고   전자 스탠바이미              스탠드 ,Digital
19,삼성전자 상품명 비바 삼성전자                스탠드형  지역별배송비상이 ,Digital
20,삼성전자 상품명 가람 삼성전자                스탠드형  지역별배송비상이 ,Digital
21,  전자 울트라   상품명              클릭    전자        벽걸이형,Digital
22,  전자 울트라   상품명   전자    벽걸이형             정품판매점    ,Digital
23,  전자 상품명        전자 스탠바이미             ,Digital
24,삼성전자 상품명   인치                       본체만 거치대 없음       ,Digital
25,  전자 울트라   상품명   전자            벽걸이형   인치               ,Digital
26,공식 상품 넥스 상품명 넥스                                  스마트 구글  ,Digital
27,  전자 울트라   상품명 무브리테일   전자 울트라               스탠드 운송료상이,Digital
28,큐빅스        상품명 삼성패널        인치    스마트    등급 넷플 유튜브,Digital
29,삼성전자 상품명 삼성전자        평면 스탠드형                     고정  지역별차등,Digital
30,홈쇼핑 상품 상품명  년무상   이스트라 프리미엄 구글            스마트    직배송 자가설치 ,Digital
31,홈쇼핑 상품 이스트라 상품명   년  보장 이스트라               구글 스마트    택배배송 자가설치 ,Digital
32,홈쇼핑 상품 상품명   년형  년무상   이스트라           구글 스마트   자가설치 직배송 ,Digital
33,삼성전자 상품명 삼성                      비즈니스 스마트   ,Digital
34,  전자 울트라   상품명   전자 울트라               벽걸이형 마리  지역별배송비상이 ,Digital
35,홈쇼핑 상품   전자 상품명                               사은품      사운드바 ,Digital
36,상품명 살루스         인치             무상보증,Digital
37,상품명 이동식브라켓   인치    설치미포함 ,Digital
38,  전자 울트라   상품명 비바   전자             스탠드형  지역별배송비상이 ,Digital
39,공식 상품 넥스 상품명 넥스                                  스마트 구글  ,Digital
40,  전자 올레드   상품명   전자 올레드              주 로얄 스탠드 배송지역문의,Digital
41,이스트라 상품명  년무상   이스트라 프리미엄 구글            스마트    직배송 자가설치 ,Digital
42,상품명                        스탠드형     ,Digital
43,와사비망고 상품명   인치                          택배 자가설치,Digital
44,  전자 울트라   상품명              클릭    전자         스탠드형   운송료상이 ,Digital
45,삼성전자 상품명 삼성전자 삼성                스탠드   인치,Digital
46,  전자 상품명   전자 울트라               스탠드 대성가전,Digital
47,삼성전자 상품명 삼성전자                    각도조절벽걸이 지역별 운송료 상이 대성가전,Digital
48,  전자 상품명      인치    스마트       모니터           ,Digital
49,  전자 상품명 스탠바이미                              ,Digital
50,홈쇼핑 상품 이스트라 상품명   년  보장 이스트라                스마트     직배송 자가설치 ,Digital
51,  전자 상품명 울트라               스탠드 벽걸이   ,Digital
52,  전자 상품명  현대       리퍼        인치                        티비 스마트   수도권 스탠드 설치비포함,Digital
53,상품명            신호증폭기         서지보호기 네트워크장비 랜카드 컨버터 네트워크모듈,Digital
54,삼성전자 상품명 삼성전자 삼성                  고정스탠드형      지역별배송비상이,Digital
55,  전자 상품명   전자                          벽걸이      ,Digital
56,삼성전자 상품명 삼성전자 사이니지                스탠드,Digital
57,삼성전자 상품명 크리스탈                      인치 스탠드  재고유  전국 무료배송   ,Digital
58,삼성전자 상품명 삼성전자                     스탠드형 초이스,Digital
59,이노스 상품명  현대        년무상 이노스              돌비 스마트    구글            택배출고 고객직접설치,Digital
60,상품명       한글 따라쓰기 영역열학습교구 키즈에버 한글 가베 언어 창의 수학,Digital
61,상품명       알파벳 따라쓰기 알파벳쓰기 영어쓰기 수학 영역열학습교구 창의 언어 가베 키즈에버,Digital
62,상품명 와이드뷰                          대기업패널 고화질,Digital
63,상품명 와이드뷰                      대기업패널 모니터겸용,Digital
64,삼성전자 상품명     삼성전자                        스탠드형 ,Digital
65,이노스 상품명 이노스   형   패널             자가설치 택배 ,Digital
66,삼성전자 상품명 삼성전자                    스탠드형 아띠몰,Digital
67,이노스 상품명 이노스   인치                   년무상보증 구글 자가설치 수도권,Digital
68,  전자 울트라   상품명 갤러리아                             벽걸이형,Digital
69,삼성전자 상품명 가람 삼성전자                벽걸이형  지역별배송비상이 ,Digital
70,  전자 울트라   상품명                             울트라   벽걸이형 바른,Digital
71,  전자 울트라   상품명            벽걸이형 폐가전무료수거 ,Digital
72,  전자 상품명   전자 울트라                 인치 스탠드형     ,Digital
73,  전자 울트라   상품명              클릭무배    전자        벽걸이형 사운드바,Digital
74,공식 상품 이스트라 상품명           스마트   자가설치 직배송,Digital
75,공식 상품 이스트라 상품명          스마트   자가설치 직배송 ,Digital
76,공식 상품 이스트라 상품명          스마트   자가설치 직배송,Digital
77,상품명 삼성엘지  인치       특가판매 무료배송,Digital
78,  전자 울트라   상품명   전자                    벽걸이 정품     ,Digital
79,삼성전자 상품명 삼성전자                       각도조절벽걸이   가나다,Digital
80,삼성전자 상품명 삼성                       스탠드,Digital
81,  전자 상품명   전자 올레드                 스탠드      ,Digital
82,  전자 올레드   상품명   전자 올레드             설치타입 선택  주 로얄 전국무료배송,Digital
83,삼성전자 상품명 삼성전자                스탠드          초이스,Digital
84,  전자 울트라   상품명              클릭    전자          스탠드형   운송료상이 ,Digital
85,  전자 울트라   상품명 가람   전자             벽걸이형  지역별배송비상이 ,Digital
86,삼성전자 상품명 삼성전자 더 프레임                스탠드형 플랫티크베젤 포함      지역별배송비상이,Digital
87,  전자 올레드   상품명    정품 올레드                                 스탠드형 마강,Digital
88,  전자 상품명   전자 스탠바이미                                   운송료상이,Digital
89,프리즘코리아 상품명 무결점 프리즘 바이런   인치           등급 베젤리스     직배송 자가설치,Digital
90,이노스 상품명 이노스   형 스마트 구글      패널         택배출고 자가설치 ,Digital
91,  전자 울트라   상품명    울트라               각도조절 벽걸이형 운송료상이 국민전자,Digital
92,상품명   전자 올레드                     스탠드      ,Digital
93,  전자 올레드   상품명    올레드 오브제컬렉션 포제                 스탠드형   물류설치   ,Digital
94,  전자 올레드   상품명   전자 올레드                스탠드형   ,Digital
95,삼성전자 상품명 삼성전자                             벽걸이형     제조사 물류설치,Digital
96,삼성전자 상품명 삼성전자                 다온 운송료상이 ,Digital
97,  전자 울트라   상품명 무료배송 설치   전자 울트라                  스탠드형   사운드바 초이스,Digital
98,공식 상품         상품명 와이드뷰                        등급 대기업패널 고화질,Digital
99,  전자 상품명                스탠드형        시주문확인 본인설치 당일택배발송 ,Digital
100,삼성전자 상품명 삼성                    고정스탠드형 아띠몰  지역별배송비상이 ,Digital
101,  전자 상품명               스탠드형   시  분주문확 본인설치택배당일바송    ,Digital
102,와사비망고 상품명 와사비망고   인치             스마트      와글와글,Digital
103,상품명 익스코리아         인치           등급 고화질 대형       ,Digital
104,아남 상품명 설치배송 아남      형                             ,Digital
105,모넥스 상품명 디엘티 모넥스   형                     방문기본설치,Digital
106,  전자 울트라   상품명 무브리테일   전자 울트라               벽걸이 운송료상이,Digital
107,삼성전자 상품명 삼성전자                          스탠드형 아띠몰  지역별배송비상이 ,Digital
108,  전자 울트라   상품명            스탠드형 폐가전무료수거 총알배송설치  ,Digital
109,이스트라 상품명   년  보장 이스트라           퀀텀닷 스마트   택배발송 자가설치 ,Digital
110,  전자 올레드   상품명   전자 올레드                       스탠드  마켓,Digital
111,공식 상품 이스트라 상품명 이스트라 쿠카          스마트   자가설치 택배발송,Digital
112,삼성전자 상품명 삼성전자                    스탠드형     ,Digital
113,필루체 상품명 필루체   인치                 특별할인판매중  택배출고 ,Digital
114,  전자 올레드   상품명   전자                  고정스탠드형      지역별배송비상이,Digital
115,  전자 올레드   상품명                     스탠드 정품 새제품 물류설치,Digital
116,공식 상품 이스트라 상품명           퀀텀닷 스마트   자가설치 직배송,Digital
117,  전자 상품명   전자                  고정스탠드형     지역별배송비상이,Digital
118,  전자 상품명   전자                  고정스탠드형     지역별배송비상이,Digital
119,삼성전자 상품명 삼성전자                    벽걸이형  금빛 ,Digital
120,상품명 삼성전자 삼성                   고정스탠드형      지역별배송비상이,Digital
121,  전자 상품명   전자                   벽걸이  프로 스탠드 벽걸이 선택가능,Digital
122,삼성전자 상품명 삼성전자                               각도벽걸이형     지역별배송비상이,Digital
123,상품명        전자 올레드              스탠드 ,Digital
124,삼성전자 상품명 삼성전자 삼성                       각도벽걸이형      지역별배송비상이,Digital
125,해외직구 상품 상품명     년 포함         인치                           년형 새제품 로컬변경가능,Digital
126,프리즘코리아 상품명 무결점 프리즘 바이런   인치        베젤리스 구글 스마트   직배송 자가설치 ,Digital
127,프리즘 상품명 무결점 프리즘 바이런   인치        베젤리스    구글 스마트   스탠드설치,Digital
128,삼성전자 상품명 삼성전자                         고정스탠드형      지역별배송비상이,Digital
129,  전자 상품명   전자                                    벽걸이   물류설치   ,Digital
130,  전자 올레드   상품명   전자 올레드         평면 스탠드형                    위너스,Digital
131,  전자 상품명   전자 올레드                 스탠드      ,Digital
132,  전자 상품명   전자 스탠바이미                   ,Digital
133,  전자 울트라   상품명   전자 울트라          평면 스탠드형                                 인치 전국무료설치,Digital
134,상품명    올레드                               벽걸이형   인치,Digital
135,  전자 상품명    울트라                           사운드바 벽걸이형,Digital
136,  전자 상품명                     벽걸이형   설치  플러그 ,Digital
137,상품명 무브리테일 삼성전자                             스탠드  운송료상이,Digital
138,  전자 울트라   상품명              클릭          전자        벽걸이형  운송료상이,Digital
139,  전자 올레드   상품명    올레드                                 각도조절 벽걸이형 마강,Digital
140,프리즘 상품명 무결점 프리즘 바이런   인치        베젤리스 구글 스마트   스탠드 설치,Digital
141,  전자 상품명    전자 스탠바이미                              이동식   마강,Digital
142,삼성전자 상품명 삼성전자                          스탠드 지역별운송료상이      ,Digital
143,삼성전자 상품명 삼성전자                   스탠드형 아띠몰  지역별배송비상이 ,Digital
144,삼성전자 상품명 삼성                            각도조절 벽결이형 일렉,Digital
145,삼성전자 상품명 삼성            비즈니스          유튜브 에너지 효율  등급 스탠드형 기사님 무료 설치   인치    ,Digital
146,  전자 상품명              클릭    전자 스탠바이미 프라이빗 스마트 스크린 이동식         운송료상이 ,Digital
147,  전자 상품명   전자 울트라               각도조절벽걸이 지역별 운송료 상이 대성가전,Digital
148,  전자 울트라   상품명    울트라             스탠드 지역별 운송료 상이 대성가전,Digital
149,  전자 울트라   상품명 브랜드가전   전자 울트라               벽걸이형  지역별배송비상이 ,Digital
150,  전자 상품명   전자     스탠바이미    평면 스탠드형                      전국 무료배송 엘지물류 포유,Digital
151,해외직구 상품 삼성전자 상품명  년   기본포함 삼성     인치                          네오       ,Digital
152,삼성전자 상품명 삼성   인치 스마트                       스탠드형 전국물류설치 폐가전무료,Digital
