,titles,category
0,공식 상품 삼성전자 상품명 삼성 정품 갤럭시워치  클래식 스포츠 스트랩 밴드 시계줄             ,Digital
1,      상품명   케이스   카드보드   기기    헤드기어    가상현실,Digital
2,상품명 삼성 갤럭시워치       액티브  두줄 큐빅 케이스 커버 시계줄,Digital
3,상품명 삼성 갤럭시워치     큐빅 다이아 강화유리 풀 커버 하드 케이스,Digital
4,젤센 상품명 젤센 스마트워치 에어워치  아몰레드 완벽 통화 웨어러블 시계,Digital
5,삼성전자 상품명 추가혜택  종 삼성 갤럭시 워치  클래식      블루투스,Digital
6,상품명 애플워치  애플워치                     케이스 하드 슬림 투명              ,Digital
7,상품명 삼성 갤럭시워치     강화유리 풀 커버 하드 케이스 액정 보호,Digital
8,젤센 상품명 스마트워치 완벽 통화 스마트밴드 웨어러블 에어워치  시계,Digital
9,삼성전자 상품명 위치추적기 시즌  건전지    일간작동 지구끝까지추적,Digital
10,상품명 갤럭시워치      프로 클래식 스트랩 실리콘 원클릭 호환 원버튼 원클릭 클래식스트랩,Digital
11,공식 상품 티피링크 상품명            팩      스마트 절전 플러그 타이머콘센트,Digital
12,공식 상품 삼성전자 상품명 삼성 갤럭시 스마트태그  자전거용 프로텍티브 케이스          ,Digital
13,상품명 갤럭시워치        액티브  스트랩 실리콘 마그네틱 루프 시계줄 밴드 클래식스트랩,Digital
14,공식 상품 삼성전자 상품명 삼성 갤럭시 스마트태그      소형 위치추적기         ,Digital
15,상품명 구글 표준   안경 가상현실안경 카드보드        기기,Digital
16,삼성전자 갤럭시워치 상품명 삼성전자 갤럭시 워치  클래식 블루투스      보호필름 선물포장  종혜택 최대가       원,Digital
17,삼성전자 갤럭시워치 상품명 삼성전자 갤럭시 워치  클래식 블루투스      보호필름 선물포장  종혜택 최대가       원,Digital
18,공식 상품 삼성전자 갤럭시워치 상품명 삼성 갤럭시워치  클래식          자급제         최대혜택가       원 선물포장  종혜택,Digital
19,상품명 위치추적기 건전지   일작동 스마트폰 실시간전국추적,Digital
